dataset,block,pattern,mechanism,severity,winner_cpv70,winner_fixed_k20,rmd_cpv70,rmd_fixed_k20,same_winner
patchcamelyon,vae_latent,incremental,jpeg,0.5,Frechet,Frechet,221.7,217.15,True
patchcamelyon,vae_latent,incremental,jpeg,0.75,Frechet,HDDDM,223.15,189.2,False
patchcamelyon,vae_latent,incremental,jpeg,1.0,Frechet,Frechet,222.5,213.25,True
patchcamelyon,vae_latent,incremental,ooc,0.25,KL-Hist,KL-Hist,222.55,190.3,True
patchcamelyon,vae_latent,incremental,ooc,0.5,KSWIN,HDDDM,195.9,239.55,False
patchcamelyon,vae_latent,incremental,ooc,0.75,KSWIN,HDDDM,280.2,256.2,False
patchcamelyon,vae_latent,incremental,ooc,1.0,PSI,KL-Hist,210.7,209.6,False
patchcamelyon,vae_latent,incremental,saturation,0.25,KL-Gauss,KL-Gauss,146.55,126.0,True
patchcamelyon,vae_latent,incremental,saturation,0.5,KL-Gauss,KL-Gauss,116.15,107.35,True
patchcamelyon,vae_latent,incremental,saturation,0.75,Frechet,KL-Gauss,96.05,81.0,False
patchcamelyon,vae_latent,incremental,saturation,1.0,Frechet,KL-Gauss,80.25,69.5,False
patchcamelyon,vae_latent,incremental,stretch,0.25,KL-Gauss,KL-Gauss,234.35,171.95,True
patchcamelyon,vae_latent,incremental,stretch,0.5,MMD,KL-Gauss,261.65,200.6,False
patchcamelyon,vae_latent,incremental,stretch,0.75,KL-Gauss,KL-Gauss,212.2,161.95,True
patchcamelyon,vae_latent,incremental,stretch,1.0,KL-Gauss,KL-Gauss,184.25,161.65,True
patchcamelyon,vae_latent,sudden,jpeg,0.25,Frechet,Frechet,222.65,217.25,True
patchcamelyon,vae_latent,sudden,jpeg,0.5,KL-Gauss,Frechet,230.0,214.25,False
patchcamelyon,vae_latent,sudden,jpeg,0.75,KL-Hist,Frechet,202.35,212.7,False
patchcamelyon,vae_latent,sudden,jpeg,1.0,Frechet,KL-Gauss,249.85,198.6,False
patchcamelyon,vae_latent,sudden,ooc,0.25,KSWIN,Frechet,204.8,250.35,False
patchcamelyon,vae_latent,sudden,ooc,0.5,KL-Hist,MMD,180.05,256.55,False
patchcamelyon,vae_latent,sudden,ooc,0.75,KL-Hist,PSI,152.6,167.25,False
patchcamelyon,vae_latent,sudden,ooc,1.0,KL-Hist,KL-Hist,151.25,138.85,True
patchcamelyon,vae_latent,sudden,saturation,0.25,T2,Frechet,77.15,67.15,False
patchcamelyon,vae_latent,sudden,saturation,0.5,MMD,MMD,20.2,17.9,True
patchcamelyon,vae_latent,sudden,saturation,0.75,Frechet,Frechet,11.95,10.9,True
patchcamelyon,vae_latent,sudden,saturation,1.0,Frechet,Frechet,9.55,8.85,True
patchcamelyon,vae_latent,sudden,stretch,0.25,T2,KL-Gauss,253.85,164.6,False
patchcamelyon,vae_latent,sudden,stretch,0.5,KSWIN,Frechet,204.35,207.5,False
patchcamelyon,vae_latent,sudden,stretch,0.75,SPE,SPE,133.25,148.55,True
patchcamelyon,vae_latent,sudden,stretch,1.0,SPE,SPE,84.95,113.65,True
