method,block,concept-sudden-jpeg,concept-sudden-stretch,concept-sudden-saturation,concept-incremental-jpeg,concept-incremental-stretch,concept-incremental-saturation,concept-gradual-jpeg,concept-gradual-stretch,concept-gradual-saturation,concept-recurring-jpeg,concept-recurring-stretch,concept-recurring-saturation,label-sudden,label-incremental,label-gradual,label-recurring
KSWIN,layer4,0.6±0.2,1.0±0.5,0.9±0.2,6.7±3.4,16.4±7.0,19.9±7.5,18.0±4.7,23.4±9.2,23.0±7.7,0.6±0.1,1.0±0.2,0.9±0.2,1.7±0.9,29.9±8.6,14.5±4.8,1.7±0.6
KSWIN,vae_latent,118.8±49.6,68.9±65.3,2.3±1.7,134.9±41.1,108.0±46.6,23.9±10.5,114.2±50.3,110.0±48.7,28.1±8.8,24.1±2.2,21.8±3.3,2.3±1.7,4.8±4.3,36.2±11.3,21.6±11.3,4.6±3.4
MMD,layer1,0.6±0.2,1.1±0.3,0.4±0.1,2.7±2.0,9.8±5.8,8.6±2.6,16.3±6.7,27.2±6.3,10.9±3.3,0.6±0.1,1.0±0.3,0.4±0.1,4.3±3.3,33.5±11.8,22.8±8.2,3.6±2.0
MMD,layer2,0.3±0.1,0.6±0.1,0.6±0.1,2.1±1.1,7.3±3.6,10.7±2.5,10.5±2.8,19.4±4.7,12.6±4.6,0.3±0.0,0.6±0.1,0.5±0.1,1.5±1.6,23.8±6.7,10.8±6.2,1.4±0.4
MMD,layer3,0.9±0.2,2.3±1.8,3.3±3.0,22.8±10.9,24.8±11.8,34.9±12.1,28.1±4.8,34.4±6.2,36.5±12.7,0.8±0.1,2.0±1.1,3.4±1.9,1.6±1.3,26.6±9.4,12.3±5.8,1.7±0.8
MMD,layer4,0.5±0.1,1.0±0.3,0.8±0.1,4.3±1.6,13.4±8.6,19.4±6.5,15.2±3.3,26.2±8.8,23.7±4.3,0.5±0.0,1.0±0.1,0.7±0.1,0.9±0.4,22.7±7.3,9.7±4.6,0.9±0.2
MMD,vae_latent,123.3±47.0,88.7±58.8,1.3±2.5,117.8±49.1,86.4±50.5,18.2±8.8,120.6±49.7,98.0±58.6,18.0±11.2,24.7±1.0,22.0±3.9,1.6±2.9,1.9±2.9,26.7±9.8,13.2±6.3,1.6±0.9
PSI,layer1,0.6±0.1,0.9±0.2,0.7±0.1,5.1±2.3,8.9±4.8,13.2±4.9,18.4±3.6,26.5±6.9,17.7±5.4,0.6±0.1,1.0±0.2,0.6±0.1,8.9±9.1,39.4±12.9,28.1±16.5,8.4±5.0
PSI,layer2,0.5±0.1,0.8±0.2,0.8±0.2,4.5±2.5,11.9±6.8,17.5±4.9,13.2±4.4,22.8±8.1,22.1±6.1,0.5±0.0,0.8±0.1,0.8±0.1,7.1±6.3,41.2±12.1,31.7±16.3,7.6±4.7
PSI,layer3,0.7±0.2,0.9±0.2,1.1±0.4,16.0±5.9,15.5±5.8,22.8±6.1,18.2±8.0,26.4±6.8,26.3±8.4,0.7±0.1,0.9±0.1,1.0±0.2,2.3±1.4,28.3±9.1,16.8±7.0,2.8±1.3
PSI,layer4,0.7±0.1,1.3±0.6,1.4±0.7,7.4±3.3,24.2±8.4,22.4±6.2,21.0±3.6,29.5±5.9,26.7±8.6,0.7±0.1,1.3±0.3,1.1±0.3,1.4±0.7,27.0±8.2,11.5±5.3,1.4±0.4
PSI,vae_latent,131.3±41.3,92.6±59.6,1.6±1.6,125.8±47.5,107.5±39.9,24.2±8.0,123.7±47.7,85.1±45.4,26.6±8.7,24.0±2.1,23.2±3.0,1.5±0.5,12.2±9.3,45.2±16.6,32.5±15.5,7.5±4.4
SPE,layer1,5.2±5.0,116.6±49.6,0.5±0.2,52.8±5.1,122.4±40.0,12.3±4.4,33.9±9.8,94.3±55.9,10.4±4.6,4.7±2.9,23.5±3.2,0.4±0.1,80.5±61.8,79.9±50.0,93.8±54.9,18.8±5.7
SPE,layer2,9.5±10.9,150.0±0.0,1.0±0.5,59.2±10.6,150.0±0.0,16.2±7.2,48.4±29.8,150.0±0.0,15.5±7.7,10.5±6.0,25.0±0.0,0.9±0.2,25.2±23.7,37.6±23.6,40.5±22.4,12.0±4.9
SPE,layer3,113.6±56.7,150.0±0.0,6.8±8.4,137.1±27.4,150.0±0.0,24.5±12.4,121.7±50.7,143.6±28.8,26.9±14.5,24.3±2.3,24.6±1.9,5.3±4.1,0.6±0.4,12.0±5.4,8.6±3.9,0.7±0.2
SPE,layer4,1.1±0.7,137.3±33.9,6.4±6.1,4.4±2.3,136.9±32.8,36.1±14.8,18.8±5.5,137.7±37.8,37.1±19.2,0.8±0.2,24.7±0.8,7.8±5.0,0.4±0.1,6.5±4.1,8.7±3.8,0.4±0.1
SPE,vae_latent,124.5±50.4,117.8±53.7,0.9±0.8,127.8±48.5,119.9±45.0,19.6±9.1,99.7±63.6,107.2±51.5,18.2±11.7,23.9±3.0,22.1±5.3,1.1±1.3,12.0±15.6,36.8±22.2,34.5±32.2,10.3±6.9
T2,layer1,0.4±0.1,0.6±0.1,0.4±0.1,2.4±1.3,5.3±2.4,9.5±2.4,12.2±3.2,17.5±5.5,9.4±3.4,0.4±0.1,0.6±0.1,0.4±0.1,1.6±1.0,28.6±7.4,11.9±5.8,1.7±0.8
T2,layer2,0.3±0.1,0.5±0.1,0.5±0.1,2.6±1.2,5.0±2.1,10.8±2.6,10.8±2.0,16.1±3.0,11.4±4.0,0.3±0.0,0.5±0.1,0.5±0.1,1.7±1.6,29.5±5.5,14.2±7.3,1.7±0.8
T2,layer3,0.6±0.1,0.6±0.1,0.7±0.2,8.5±4.2,6.6±2.6,13.7±3.2,18.3±4.1,17.6±4.4,14.3±5.4,0.6±0.1,0.6±0.1,0.6±0.1,0.8±0.2,20.3±7.3,9.3±4.0,0.9±0.2
T2,layer4,0.5±0.1,0.7±0.1,0.6±0.2,2.3±1.1,11.4±4.8,13.8±4.0,12.4±3.1,19.1±4.2,16.1±4.7,0.4±0.1,0.7±0.1,0.6±0.1,0.6±0.2,15.7±7.3,8.3±3.9,0.6±0.1
T2,vae_latent,111.7±54.2,46.0±49.2,1.6±1.8,119.6±51.7,62.2±39.4,21.0±11.0,119.5±53.0,50.0±26.8,22.2±11.5,24.1±2.0,18.0±6.2,2.2±3.9,2.3±2.2,24.5±10.5,15.7±8.2,2.0±0.9
VAE,pixel,144.7±23.6,138.3±36.6,0.5±0.2,137.2±39.7,149.8±0.8,11.3±5.4,150.0±0.0,136.8±40.9,10.3±6.0,25.0±0.0,25.0±0.0,0.5±0.1,16.5±14.6,39.2±13.9,38.3±18.5,11.6±6.5
