design,method,rmdt,detection_rate,realised_aiet
two_way_v6,EWMA,13.200554166666667,0.9566666666666667,267.446265060241
two_way_v6,Frechet,17.306583333333332,0.9516666666666665,254.85694603903562
two_way_v6,HDDDM,26.390195833333337,0.9077083333333335,330.32797619047625
two_way_v6,KL-Gauss,25.519670833333333,0.868125,243.1329682365827
two_way_v6,KL-Hist,18.286154166666666,0.9472916666666666,278.8698492462312
two_way_v6,KSWIN,18.21550416666667,0.9493750000000001,317.1148571428572
two_way_v6,MMD,17.0897,0.94625,265.8447904191617
two_way_v6,PSI,19.400262499999997,0.940625,286.4263225806452
two_way_v6,SPE,39.68102916666667,0.7725,137.2791589363018
two_way_v6,T2,12.782191666666666,0.960625,272.03480392156865
two_way_v6,VAE,62.62166666666667,0.5208333333333333,216.9896383186706
train_validation_test,EWMA,14.038075000000001,0.946875,298.36075268817206
train_validation_test,Frechet,18.120629166666667,0.94625,267.76887816646564
train_validation_test,HDDDM,27.974974999999993,0.903125,354.03572567783095
train_validation_test,KL-Gauss,26.108574999999995,0.8685416666666667,255.7377880184332
train_validation_test,KL-Hist,19.294029166666668,0.9393749999999998,365.0993421052632
train_validation_test,KSWIN,19.008729166666665,0.9356250000000002,340.98371735791096
train_validation_test,MMD,17.355229166666668,0.9418749999999999,288.2862337662338
train_validation_test,PSI,19.834233333333334,0.938125,363.3067103109657
train_validation_test,SPE,48.666108333333334,0.691875,234.8998941798942
train_validation_test,T2,13.375937500000001,0.9570833333333333,310.89691876750703
train_validation_test,VAE,64.6910625,0.5114583333333333,260.8465334900118
