design,method,block,rmdt,detection_rate,realised_aiet
two_way_v6,EWMA,layer1,6.1343125,1.0,245.2822099447514
two_way_v6,EWMA,layer2,6.3308124999999995,1.0,277.4755
two_way_v6,EWMA,layer3,6.742749999999999,1.0,267.446265060241
two_way_v6,EWMA,layer4,6.1976875,1.0,249.97792792792796
two_way_v6,EWMA,vae_latent,40.597208333333334,0.7833333333333333,282.058958068615
two_way_v6,Frechet,layer1,10.411583333333333,1.0,254.85694603903562
two_way_v6,Frechet,layer2,7.250166666666667,1.0,278.17092731829575
two_way_v6,Frechet,layer3,17.076729166666667,0.996875,246.09800443458982
two_way_v6,Frechet,layer4,8.696416666666668,1.0,313.9751060820368
two_way_v6,Frechet,vae_latent,43.09802083333334,0.7614583333333333,223.09587939698494
two_way_v6,HDDDM,layer1,21.80025,0.9395833333333334,329.3477744807122
two_way_v6,HDDDM,layer2,17.819541666666666,0.9739583333333334,339.41957186544346
two_way_v6,HDDDM,layer3,17.5513125,0.9916666666666666,328.37337278106514
two_way_v6,HDDDM,layer4,15.282770833333334,0.9989583333333334,330.32797619047625
two_way_v6,HDDDM,vae_latent,59.49710416666667,0.634375,345.2261275272162
two_way_v6,KL-Gauss,layer1,12.093020833333334,0.9916666666666666,149.5824797843666
two_way_v6,KL-Gauss,layer2,9.118333333333334,1.0,243.1329682365827
two_way_v6,KL-Gauss,layer3,9.257729166666667,1.0,280.63261694058156
two_way_v6,KL-Gauss,layer4,9.997416666666666,1.0,443.07465069860285
two_way_v6,KL-Gauss,vae_latent,87.13185416666667,0.34895833333333337,197.6673196794301
two_way_v6,KL-Hist,layer1,11.2481875,0.9979166666666666,273.3748768472907
two_way_v6,KL-Hist,layer2,10.422645833333334,0.9979166666666666,278.8698492462312
two_way_v6,KL-Hist,layer3,10.665104166666667,1.0,303.25191256830607
two_way_v6,KL-Hist,layer4,10.567041666666666,1.0,269.7210206561361
two_way_v6,KL-Hist,vae_latent,48.527791666666666,0.740625,291.6956636005257
two_way_v6,KSWIN,layer1,10.9279375,1.0,310.02849162011177
two_way_v6,KSWIN,layer2,10.243291666666668,1.0,334.30783132530127
two_way_v6,KSWIN,layer3,10.508854166666667,1.0,280.98784810126585
two_way_v6,KSWIN,layer4,9.610583333333334,1.0,317.1148571428572
two_way_v6,KSWIN,vae_latent,49.786854166666664,0.746875,358.0329032258065
two_way_v6,MMD,layer1,8.9318125,1.0,283.86240409207164
two_way_v6,MMD,layer2,6.638645833333333,1.0,264.8930787589499
two_way_v6,MMD,layer3,13.377208333333334,1.0,252.5374288964733
two_way_v6,MMD,layer4,8.343520833333333,1.0,265.8447904191617
two_way_v6,MMD,vae_latent,48.1573125,0.73125,275.75204968944104
two_way_v6,PSI,layer1,12.004979166666667,0.9958333333333333,286.4263225806452
two_way_v6,PSI,layer2,10.862979166666666,0.9979166666666666,279.92484237074405
two_way_v6,PSI,layer3,11.093,1.0,303.25191256830607
two_way_v6,PSI,layer4,10.844166666666666,1.0,264.8930787589499
two_way_v6,PSI,vae_latent,52.19618749999999,0.709375,295.57976031957395
two_way_v6,SPE,layer1,30.776125,0.8958333333333334,110.43800995024877
two_way_v6,SPE,layer2,38.510958333333335,0.775,126.77350085665336
two_way_v6,SPE,layer3,55.012375,0.6208333333333333,137.2791589363018
two_way_v6,SPE,layer4,28.509666666666668,0.8541666666666666,138.99837194740138
two_way_v6,SPE,vae_latent,45.596020833333334,0.7166666666666667,169.3214340198322
two_way_v6,T2,layer1,6.062875,1.0,228.14018499486127
two_way_v6,T2,layer2,6.516500000000001,1.0,291.6956636005257
two_way_v6,T2,layer3,6.893479166666667,1.0,279.2206289308176
two_way_v6,T2,layer4,6.354479166666667,1.0,264.26238095238097
two_way_v6,T2,vae_latent,38.083625,0.803125,272.03480392156865
two_way_v6,VAE,pixel,62.62166666666667,0.5208333333333333,216.9896383186706
train_validation_test,EWMA,layer1,6.1164375,1.0,298.36075268817206
train_validation_test,EWMA,layer2,6.5455625,1.0,325.96240822320124
train_validation_test,EWMA,layer3,6.988458333333334,1.0,372.45033557046986
train_validation_test,EWMA,layer4,6.3130625,1.0,246.37114317425085
train_validation_test,EWMA,vae_latent,44.22685416666667,0.734375,287.16739974126784
train_validation_test,Frechet,layer1,10.8925,0.996875,268.09227053140097
train_validation_test,Frechet,layer2,7.085729166666667,1.0,267.76887816646564
train_validation_test,Frechet,layer3,19.591,0.990625,362.7130718954249
train_validation_test,Frechet,layer4,9.0979375,1.0,260.5403755868545
train_validation_test,Frechet,vae_latent,43.93597916666667,0.74375,235.647983014862
train_validation_test,HDDDM,layer1,21.082395833333333,0.9489583333333333,338.384756097561
train_validation_test,HDDDM,layer2,20.8766875,0.9572916666666667,358.6113085621971
train_validation_test,HDDDM,layer3,18.747999999999998,0.9854166666666666,350.6799368088468
train_validation_test,HDDDM,layer4,15.886666666666667,0.9989583333333334,354.03572567783095
train_validation_test,HDDDM,vae_latent,63.281124999999996,0.625,380.7554030874786
train_validation_test,KL-Gauss,layer1,16.8566875,0.975,255.7377880184332
train_validation_test,KL-Gauss,layer2,9.8715625,1.0,268.4164449818622
train_validation_test,KL-Gauss,layer3,9.800145833333334,1.0,323.11557496360996
train_validation_test,KL-Gauss,layer4,9.406375,1.0,225.1322515212982
train_validation_test,KL-Gauss,vae_latent,84.60810416666666,0.36770833333333336,210.20871212121213
train_validation_test,KL-Hist,layer1,10.872458333333332,0.9979166666666666,409.55793357933584
train_validation_test,KL-Hist,layer2,10.776583333333333,0.9979166666666666,365.0993421052632
train_validation_test,KL-Hist,layer3,11.092270833333334,1.0,354.03572567783095
train_validation_test,KL-Hist,layer4,10.883458333333333,1.0,386.0528695652174
train_validation_test,KL-Hist,vae_latent,52.845375000000004,0.7010416666666667,360.3577922077923
train_validation_test,KSWIN,layer1,11.516,0.9895833333333334,352.3498412698413
train_validation_test,KSWIN,layer2,10.850833333333334,1.0,340.98371735791096
train_validation_test,KSWIN,layer3,11.119083333333332,1.0,354.6012779552716
train_validation_test,KSWIN,layer4,10.022437499999999,1.0,338.384756097561
train_validation_test,KSWIN,vae_latent,51.53529166666667,0.6885416666666667,310.89691876750703
train_validation_test,MMD,layer1,8.991979166666667,1.0,284.5902564102564
train_validation_test,MMD,layer2,6.451604166666667,1.0,288.2862337662338
train_validation_test,MMD,layer3,14.775187500000001,1.0,369.3517470881864
train_validation_test,MMD,layer4,8.800125,1.0,286.7963824289406
train_validation_test,MMD,vae_latent,47.75725,0.709375,336.33393939393943
train_validation_test,PSI,layer1,11.182041666666667,0.996875,397.1026833631485
train_validation_test,PSI,layer2,11.4849375,0.9979166666666666,352.3498412698413
train_validation_test,PSI,layer3,11.295854166666667,1.0,363.3067103109657
train_validation_test,PSI,layer4,11.181479166666666,1.0,369.3517470881864
train_validation_test,PSI,vae_latent,54.026854166666666,0.6958333333333333,356.8816720257235
train_validation_test,SPE,layer1,46.884541666666664,0.7510416666666667,234.8998941798942
train_validation_test,SPE,layer2,46.96729166666667,0.7270833333333333,305.33755158184323
train_validation_test,SPE,layer3,59.38095833333333,0.5583333333333333,189.72683760683762
train_validation_test,SPE,layer4,35.32445833333333,0.7770833333333333,242.0724100327154
train_validation_test,SPE,vae_latent,54.77329166666667,0.6458333333333333,212.42143540669858
train_validation_test,T2,layer1,6.433541666666668,1.0,310.89691876750703
train_validation_test,T2,layer2,6.655833333333334,1.0,314.8658156028369
train_validation_test,T2,layer3,7.1251875,1.0,356.30882825040135
train_validation_test,T2,layer4,6.4996875,1.0,250.54221218961627
train_validation_test,T2,vae_latent,40.1654375,0.7854166666666667,281.3439797211661
train_validation_test,VAE,pixel,64.6910625,0.5114583333333333,260.8465334900118
