extractor,seed,block,method,events,expected,arl0_hat,p_value,dispersion,stream_windows
imagenet,42,layer1,KSWIN,60,29.99735135135135,184.98366666666666,1.845329536220293e-06,1.2592592592592593,11099.02
imagenet,42,layer1,KL-Gauss,33,29.99735135135135,336.33393939393943,0.6305684487342333,0.744107744107744,11099.02
imagenet,42,layer1,KL-Hist,27,29.99735135135135,411.07481481481483,0.6660853591059495,1.1563786008230452,11099.02
imagenet,42,layer1,HDDDM,32,29.99735135135135,346.844375,0.762341681982474,1.0277777777777777,11099.02
imagenet,42,layer1,PSI,29,29.99735135135135,382.7248275862069,0.9518187558646063,1.0306513409961686,11099.02
imagenet,42,layer1,T2,54,29.99735135135135,205.53740740740741,0.00010116789905040395,0.9958847736625512,11099.02
imagenet,42,layer1,Frechet,47,29.99735135135135,236.14936170212766,0.00489272363365632,0.7115839243498818,11099.02
imagenet,42,layer1,MMD,56,29.99735135135135,198.1967857142857,2.8465683022161507e-05,0.8412698412698414,11099.02
imagenet,42,layer1,CUSUM,10523,29.99735135135135,1.0547391428299915,0.0,31.516582723557917,11099.02
imagenet,42,layer1,EWMA,44,29.99735135135135,252.25045454545455,0.01944347440014765,2.232323232323232,11099.02
imagenet,42,layer1,SPE,27,29.99735135135135,411.07481481481483,0.6660853591059495,0.33333333333333326,11099.02
imagenet,42,layer1,CUSUM-R,198,29.99735135135135,56.05565656565657,3.2333137286445645e-91,0.0202020202020202,11099.02
imagenet,42,layer2,KSWIN,26,29.99735135135135,426.8853846153846,0.5349856860331688,0.7863247863247862,11099.02
imagenet,42,layer2,KL-Gauss,24,29.99735135135135,462.4591666666667,0.3147097585278856,0.6666666666666667,11099.02
imagenet,42,layer2,KL-Hist,14,29.99735135135135,792.7871428571428,0.001844086339538801,1.3015873015873018,11099.02
imagenet,42,layer2,HDDDM,14,29.99735135135135,792.7871428571428,0.001844086339538801,0.9841269841269841,11099.02
imagenet,42,layer2,PSI,18,29.99735135135135,616.6122222222223,0.02589541529640437,1.7037037037037042,11099.02
imagenet,42,layer2,T2,28,29.99735135135135,396.3935714285714,0.8065368932206457,0.8571428571428573,11099.02
imagenet,42,layer2,Frechet,33,29.99735135135135,336.33393939393943,0.6305684487342333,0.6094276094276094,11099.02
imagenet,42,layer2,MMD,65,29.99735135135135,170.75415384615386,4.23070044612401e-08,0.9316239316239316,11099.02
imagenet,42,layer2,CUSUM,9048,29.99735135135135,1.2266821396993812,0.0,208.33475783475785,11099.02
imagenet,42,layer2,EWMA,28,29.99735135135135,396.3935714285714,0.8065368932206457,0.6190476190476191,11099.02
imagenet,42,layer2,SPE,54,29.99735135135135,205.53740740740741,0.00010116789905040395,0.46090534979423864,11099.02
imagenet,42,layer2,CUSUM-R,84,29.99735135135135,132.13119047619048,1.0363520768168395e-15,0.08465608465608465,11099.02
imagenet,42,layer3,KSWIN,42,29.99735135135135,264.26238095238097,0.04416006020562359,2.158730158730159,11099.02
imagenet,42,layer3,KL-Gauss,18,29.99735135135135,616.6122222222223,0.02589541529640437,0.5925925925925924,11099.02
imagenet,42,layer3,KL-Hist,29,29.99735135135135,382.7248275862069,0.9518187558646063,1.5670498084291191,11099.02
imagenet,42,layer3,HDDDM,30,29.99735135135135,369.96733333333333,1.0,0.8888888888888888,11099.02
imagenet,42,layer3,PSI,30,29.99735135135135,369.96733333333333,1.0,1.4074074074074074,11099.02
imagenet,42,layer3,T2,31,29.99735135135135,358.0329032258065,0.9029122081784053,1.2508960573476704,11099.02
imagenet,42,layer3,Frechet,22,29.99735135135135,504.5009090909091,0.16127648623203544,1.2929292929292928,11099.02
imagenet,42,layer3,MMD,21,29.99735135135135,528.5247619047619,0.10898833848711728,1.2116402116402116,11099.02
imagenet,42,layer3,CUSUM,7505,29.99735135135135,1.4788834110592939,0.0,366.292471685543,11099.02
imagenet,42,layer3,EWMA,32,29.99735135135135,346.844375,0.762341681982474,0.9583333333333334,11099.02
imagenet,42,layer3,SPE,112,29.99735135135135,99.09839285714285,3.5048503528610045e-30,1.0873015873015872,11099.02
imagenet,42,layer3,CUSUM-R,82,29.99735135135135,135.3539024390244,8.133894913530687e-15,0.04878048780487806,11099.02
imagenet,42,layer4,KSWIN,46,29.99735135135135,241.28304347826088,0.007902886508320215,0.6859903381642513,11099.02
imagenet,42,layer4,KL-Gauss,52,29.99735135135135,213.4426923076923,0.0003354812952195311,1.3162393162393162,11099.02
imagenet,42,layer4,KL-Hist,27,29.99735135135135,411.07481481481483,0.6660853591059495,1.5679012345679009,11099.02
imagenet,42,layer4,HDDDM,32,29.99735135135135,346.844375,0.762341681982474,1.1666666666666665,11099.02
imagenet,42,layer4,PSI,31,29.99735135135135,358.0329032258065,0.9029122081784053,1.1075268817204302,11099.02
imagenet,42,layer4,T2,86,29.99735135135135,129.05837209302325,1.2602972940283422e-16,1.2713178294573644,11099.02
imagenet,42,layer4,Frechet,31,29.99735135135135,358.0329032258065,0.9029122081784053,1.0358422939068102,11099.02
imagenet,42,layer4,MMD,36,29.99735135135135,308.30611111111114,0.3145269908333174,0.8148148148148149,11099.02
imagenet,42,layer4,CUSUM,2077,29.99735135135135,5.343774675012037,0.0,928.5808056491733,11099.02
imagenet,42,layer4,EWMA,69,29.99735135135135,160.85536231884058,1.5795012618971514e-09,1.3671497584541061,11099.02
